"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] MovieTitleJaccard record1Value","[0] MovieTitleJaccard record2Value","[0] MovieTitleJaccard record1PreprocessedValue","[0] MovieTitleJaccard record2PreprocessedValue","[0] MovieTitleJaccard similarity","[0] MovieTitleJaccard postproccesedSimilarity","[1] MovieDirectorJaccard record1Value","[1] MovieDirectorJaccard record2Value","[1] MovieDirectorJaccard record1PreprocessedValue","[1] MovieDirectorJaccard record2PreprocessedValue","[1] MovieDirectorJaccard similarity","[1] MovieDirectorJaccard postproccesedSimilarity","[2] MovieProducerJaccard record1Value","[2] MovieProducerJaccard record2Value","[2] MovieProducerJaccard record1PreprocessedValue","[2] MovieProducerJaccard record2PreprocessedValue","[2] MovieProducerJaccard similarity","[2] MovieProducerJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","dbpedia_id_4479","HM_id_3656","0.0",,"Baadasssss!","Babel","Baadasssss!","Babel","0.0","0.0","Mario Van Peebles","Alejandro G. Iñárritu","Mario Van Peebles","Alejandro G. Iñárritu","0.0","0.0","Mario Van Peebles","Guillermo Arriaga","Mario Van Peebles","Guillermo Arriaga","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_3719","HM_id_3019","0.0",,"Loosies","Locke","Loosies","Locke","0.0","0.0","Michael Corrente","Steven Knight","Michael Corrente","Steven Knight","0.0","0.0","Peter Facinelli","Steven Knight","Peter Facinelli","Steven Knight","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_3719","HM_id_3018","0.0",,"Loosies","Lockout","Loosies","Lockout","0.0","0.0","Michael Corrente","Steve Saint Leger","Michael Corrente","Steve Saint Leger","0.0","0.0","Peter Facinelli","James Mather","Peter Facinelli","James Mather","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_4432","HM_id_2794","0.0",,"Pursued","Puncture","Pursued","Puncture","0.0","0.0","Raoul Walsh","Adam Kassen","Raoul Walsh","Adam Kassen","0.0","0.0","Milton Sperling","Paul Danziger","Milton Sperling","Paul Danziger","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_9383","HM_id_1452","0.2",,"The Devil and Max Devlin","The Death and Resurrection Show","The Devil and Max Devlin","The Death and Resurrection Show","0.25","0.25","Steven Hilliard Stern","Shaun Pettigrew","Steven Hilliard Stern","Shaun Pettigrew","0.0","0.0","Jerome Courtland","Shaun Pettigrew","Jerome Courtland","Shaun Pettigrew","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_3541","HM_id_4081","0.0",,"Bannerline","Battleship","Bannerline","Battleship","0.0","0.0","Don Weis","Peter Berg","Don Weis","Peter Berg","0.0","0.0","Henry Berman","Jon Hoeber","Henry Berman","Jon Hoeber","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_8629","HM_id_3811","0.0",,"Padrenostro","Patients","Padrenostro","Patients","0.0","0.0","Claudio Noce","Mehdi Idir","Claudio Noce","Mehdi Idir","0.0","0.0","Pierfrancesco Favino","Grand Corps Malade","Pierfrancesco Favino","Grand Corps Malade","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_402","HM_id_3454","0.0",,"Desoddharakulu","Deadfall","Desoddharakulu","Deadfall","0.0","0.0","C. S. Rao","Stefan Ruzowitzky","C. S. Rao","Stefan Ruzowitzky","0.0","0.0","U. Visweswar Rao","Zach Dean","U. Visweswar Rao","Zach Dean","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_8609","HM_id_1635","0.22857142857142856",,"The Secrets of Jonathan Sperry","The Sea of Trees","The Secrets of Jonathan Sperry","The Sea of Trees","0.2857142857142857","0.2857142857142857","Rich Christiano","Gus Van Sant","Rich Christiano","Gus Van Sant","0.0","0.0","Rich Christiano","Chris Sparling","Rich Christiano","Chris Sparling","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_4432","HM_id_2791","0.0",,"Pursued","Push","Pursued","Push","0.0","0.0","Raoul Walsh","Paul McGuigan","Raoul Walsh","Paul McGuigan","0.0","0.0","Milton Sperling","David Bourla","Milton Sperling","David Bourla","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_4401","HM_id_2084","1.0","1","White Bird in a Blizzard","White Bird in a Blizzard","White Bird in a Blizzard","White Bird in a Blizzard","1.0","1.0","Gregg Araki","Gregg Araki","Gregg Araki","Gregg Araki","1.0","1.0","Gregg Araki","Gregg Araki","Gregg Araki","Gregg Araki","1.0","1.0"
"LinearCombinationMatchingRule","dbpedia_id_5106","HM_id_2563","0.9","1","Thank You for Smoking","Thank You for Smoking","Thank You for Smoking","Thank You for Smoking","1.0","1.0","Jason Reitman","Jason Reitman","Jason Reitman","Jason Reitman","1.0","1.0","David O. Sacks","Jason Reitman","David O. Sacks","Jason Reitman","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_7970","HM_id_1537","0.0",,"Demi-soeur","Denial","Demi-soeur","Denial","0.0","0.0","Josiane Balasko","Mick Jackson","Josiane Balasko","Mick Jackson","0.0","0.0","Josiane Balasko","David Hare","Josiane Balasko","David Hare","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_8137","HM_id_3269","0.9",,"Good Kill","Good Kill","Good Kill","Good Kill","1.0","1.0","Andrew Niccol","Andrew Niccol","Andrew Niccol","Andrew Niccol","1.0","1.0","Andrew Niccol","Andrew Niccol","Andrew Niccol","Andrew Niccol","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_4479","HM_id_3648","0.0",,"Baadasssss!","Barefoot","Baadasssss!","Barefoot","0.0","0.0","Mario Van Peebles","Andrew Fleming","Mario Van Peebles","Andrew Fleming","0.0","0.0","Mario Van Peebles","Stephen Zotnowski","Mario Van Peebles","Stephen Zotnowski","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_7714","HM_id_4865","0.17777777777777778",,"The Last of Mrs. Cheyney (1937 film)","The Laws of Thermodynamics","The Last of Mrs. Cheyney (1937 film)","The Laws of Thermodynamics","0.2222222222222222","0.2222222222222222","Dorothy Arzner","Mateo Gil","Dorothy Arzner","Mateo Gil","0.0","0.0","Lawrence Weingarten","Mateo Gil","Lawrence Weingarten","Mateo Gil","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_4479","HM_id_3647","0.0",,"Baadasssss!","Basic","Baadasssss!","Basic","0.0","0.0","Mario Van Peebles","John McTiernan","Mario Van Peebles","John McTiernan","0.0","0.0","Mario Van Peebles","James Vanderbilt","Mario Van Peebles","James Vanderbilt","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_3719","HM_id_3004","0.0",,"Loosies","Lovelace","Loosies","Lovelace","0.0","0.0","Michael Corrente","Rob Epstein","Michael Corrente","Rob Epstein","0.0","0.0","Peter Facinelli","Andy Bellin","Peter Facinelli","Andy Bellin","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_1143","HM_id_1937","0.26666666666666666",,"The Internship","The Intern","The Internship","The Intern","0.3333333333333333","0.3333333333333333","Shawn Levy","Nancy Meyers","Shawn Levy","Nancy Meyers","0.0","0.0","Shawn Levy","Nancy Meyers","Shawn Levy","Nancy Meyers","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_7091","HM_id_3938","0.26666666666666666",,"The Corruptor","The Cobbler","The Corruptor","The Cobbler","0.3333333333333333","0.3333333333333333","James Foley","Tom McCarthy","James Foley","Tom McCarthy","0.0","0.0","Dan Halsted","Tom McCarthy","Dan Halsted","Tom McCarthy","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_6566","HM_id_4323","0.26666666666666666",,"The Caretakers","The Canal","The Caretakers","The Canal","0.3333333333333333","0.3333333333333333","Hall Bartlett","Ivan Kavanagh","Hall Bartlett","Ivan Kavanagh","0.0","0.0","Hall Bartlett","Ivan Kavanagh","Hall Bartlett","Ivan Kavanagh","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_9962","HM_id_2706","0.9","1","School of Rock","School of Rock","School of Rock","School of Rock","1.0","1.0","Richard Linklater","Richard Linklater","Richard Linklater","Richard Linklater","1.0","1.0","Scott Rudin","Mike White","Scott Rudin","Mike White","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_5842","HM_id_4313","0.26666666666666666",,"The Wannabe","The Watch","The Wannabe","The Watch","0.3333333333333333","0.3333333333333333","Nick Sandow","Akiva Schaffer","Nick Sandow","Akiva Schaffer","0.0","0.0","Vincent Piazza","Jared Stern","Vincent Piazza","Jared Stern","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_3541","HM_id_1811","0.0",,"Bannerline","Bandits","Bannerline","Bandits","0.0","0.0","Don Weis","Barry Levinson","Don Weis","Barry Levinson","0.0","0.0","Henry Berman","Harley Peyton","Henry Berman","Harley Peyton","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_8821","HM_id_1156","0.0",,"Man-Proof","Marrowbone","Man-Proof","Marrowbone","0.0","0.0","Richard Thorpe","Sergio G. Sánchez","Richard Thorpe","Sergio G. Sánchez","0.0","0.0","Louis D. Lighton","Sergio G. Sánchez","Louis D. Lighton","Sergio G. Sánchez","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_8964","HM_id_2420","0.0",,"That Hamilton Woman","The Hard Word","That Hamilton Woman","The Hard Word","0.0","0.0","Alexander Korda","Scott Roberts","Alexander Korda","Scott Roberts","0.0","0.0","Alexander Korda","Scott Roberts","Alexander Korda","Scott Roberts","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_106","HM_id_2176","0.0",,"Trollhunter","Triangle","Trollhunter","Triangle","0.0","0.0","André Øvredal","Christopher Smith","André Øvredal","Christopher Smith","0.0","0.0","John M. Jacobsen","Christopher Smith","John M. Jacobsen","Christopher Smith","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_2955","HM_id_4110","0.14545454545454548",,"Things to Do in Denver When You're Dead","The To Do List","Things to Do in Denver When You're Dead","The To Do List","0.18181818181818182","0.18181818181818182","Gary Fleder","Maggie Carey","Gary Fleder","Maggie Carey","0.0","0.0","Cary Woods","Maggie Carey","Cary Woods","Maggie Carey","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_106","HM_id_2178","0.0",,"Trollhunter","Transsiberian","Trollhunter","Transsiberian","0.0","0.0","André Øvredal","Brad Anderson","André Øvredal","Brad Anderson","0.0","0.0","John M. Jacobsen","Brad Anderson","John M. Jacobsen","Brad Anderson","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_227","HM_id_3716","0.0",,"Adhurs","Adaptation.","Adhurs","Adaptation.","0.0","0.0","V. V. Vinayak","Spike Jonze","V. V. Vinayak","Spike Jonze","0.0","0.0","Kodali Sri    Rao","Susan Orlean","Kodali Sri    Rao","Susan Orlean","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_106","HM_id_2173","0.0",,"Trollhunter","Trishna","Trollhunter","Trishna","0.0","0.0","André Øvredal","Michael Winterbottom","André Øvredal","Michael Winterbottom","0.0","0.0","John M. Jacobsen","Michael Winterbottom","John M. Jacobsen","Michael Winterbottom","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_227","HM_id_3715","0.0",,"Adhurs","Adore","Adhurs","Adore","0.0","0.0","V. V. Vinayak","Anne Fontaine","V. V. Vinayak","Anne Fontaine","0.0","0.0","Kodali Sri    Rao","Anne Fontaine","Kodali Sri    Rao","Anne Fontaine","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_227","HM_id_3714","0.0",,"Adhurs","Adventureland","Adhurs","Adventureland","0.0","0.0","V. V. Vinayak","Greg Mottola","V. V. Vinayak","Greg Mottola","0.0","0.0","Kodali Sri    Rao","Greg Mottola","Kodali Sri    Rao","Greg Mottola","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_7586","HM_id_2598","0.0",,"Starlift","Stretch","Starlift","Stretch","0.0","0.0","Roy Del Ruth","Joe Carnahan","Roy Del Ruth","Joe Carnahan","0.0","0.0","Robert Arthur","Joe Carnahan","Robert Arthur","Joe Carnahan","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_3719","HM_id_3015","0.0",,"Loosies","Looper","Loosies","Looper","0.0","0.0","Michael Corrente","Rian Johnson","Michael Corrente","Rian Johnson","0.0","0.0","Peter Facinelli","Rian Johnson","Peter Facinelli","Rian Johnson","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_7586","HM_id_1277","0.0",,"Starlift","Stronger","Starlift","Stronger","0.0","0.0","Roy Del Ruth","David Gordon Green","Roy Del Ruth","David Gordon Green","0.0","0.0","Robert Arthur","John Pollono","Robert Arthur","John Pollono","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_7331","HM_id_1100","0.5333333333333333",,"Journey to the West: Conquering the Demons","Journey to the West","Journey to the West: Conquering the Demons","Journey to the West","0.6666666666666666","0.6666666666666666","Stephen Chow","Ming-liang Tsai","Stephen Chow","Ming-liang Tsai","0.0","0.0","Stephen Chow","Cheng'en Wu","Stephen Chow","Cheng'en Wu","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_1643","HM_id_3526","0.9","1","Chasing Mavericks","Chasing Mavericks","Chasing Mavericks","Chasing Mavericks","1.0","1.0"," Michael Apted","Michael Apted"," Michael Apted","Michael Apted","1.0","1.0","Curtis Hanson","Kario Salem","Curtis Hanson","Kario Salem","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_3719","HM_id_3014","1.0","1","Loosies","Loosies","Loosies","Loosies","1.0","1.0","Michael Corrente","Michael Corrente","Michael Corrente","Michael Corrente","1.0","1.0","Peter Facinelli","Peter Facinelli","Peter Facinelli","Peter Facinelli","1.0","1.0"
"LinearCombinationMatchingRule","dbpedia_id_106","HM_id_2169","0.0",,"Trollhunter","Troy","Trollhunter","Troy","0.0","0.0","André Øvredal","Wolfgang Petersen","André Øvredal","Wolfgang Petersen","0.0","0.0","John M. Jacobsen","Homer","John M. Jacobsen","Homer","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_1443","HM_id_3920","0.0",,"Vixen!","Vice","Vixen!","Vice","0.0","0.0","Russ Meyer","Brian A. Miller","Russ Meyer","Brian A. Miller","0.0","0.0","Russ Meyer","Andre Fabrizio","Russ Meyer","Andre Fabrizio","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_1142","HM_id_2351","0.7000000000000001",,"The Lovely Bones (film)","The Lovely Bones","The Lovely Bones (film)","The Lovely Bones","0.75","0.75","Peter Jackson","Peter Jackson","Peter Jackson","Peter Jackson","1.0","1.0","Carolynne Cunningham","Fran Walsh","Carolynne Cunningham","Fran Walsh","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_9267","HM_id_4569","0.0",,"Supervixens","Submission","Supervixens","Submission","0.0","0.0","Russ Meyer","Richard Levine","Russ Meyer","Richard Levine","0.0","0.0","Russ Meyer","Richard Levine","Russ Meyer","Richard Levine","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_1027","HM_id_2410","0.26666666666666666",,"The Hospital","The Homesman","The Hospital","The Homesman","0.3333333333333333","0.3333333333333333","Arthur Hiller","Tommy Lee Jones","Arthur Hiller","Tommy Lee Jones","0.0","0.0","Howard Gottfried","Tommy Lee Jones","Howard Gottfried","Tommy Lee Jones","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_1027","HM_id_2411","0.26666666666666666",,"The Hospital","The Holiday","The Hospital","The Holiday","0.3333333333333333","0.3333333333333333","Arthur Hiller","Nancy Meyers","Arthur Hiller","Nancy Meyers","0.0","0.0","Howard Gottfried","Nancy Meyers","Howard Gottfried","Nancy Meyers","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_3958","HM_id_1624","0.32000000000000006",,"Teenage Mutant Ninja Turtles (2014 film)","Teenage Mutant Ninja Turtles: Out of the Shadows","Teenage Mutant Ninja Turtles (2014 film)","Teenage Mutant Ninja Turtles: Out of the Shadows","0.4","0.4","Jonathan Liebesman","Dave Green","Jonathan Liebesman","Dave Green","0.0","0.0","Andrew Form","Josh Appelbaum","Andrew Form","Josh Appelbaum","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_4123","HM_id_1087","0.9","1","The Greatest Showman","The Greatest Showman","The Greatest Showman","The Greatest Showman","1.0","1.0","Michael Gracey","Michael Gracey","Michael Gracey","Michael Gracey","1.0","1.0","Peter Chernin","Jenny Bicks","Peter Chernin","Jenny Bicks","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_7231","HM_id_1307","0.9","1","Valerian and the City of a Thousand Planets","Valerian and the City of a Thousand Planets","Valerian and the City of a Thousand Planets","Valerian and the City of a Thousand Planets","1.0","1.0","Luc Besson","Luc Besson","Luc Besson","Luc Besson","1.0","1.0","Virginie Besson-Silla","Pierre Christin","Virginie Besson-Silla","Pierre Christin","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_2617","HM_id_2251","0.7400000000000001",,"The Tree of Life (film)","The Tree of Life","The Tree of Life (film)","The Tree of Life","0.8","0.8","Terrence Malick","Terrence Malick","Terrence Malick","Terrence Malick","1.0","1.0","Bill Pohlad","Terrence Malick","Bill Pohlad","Terrence Malick","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_914","HM_id_4081","0.0",,"Baise-moi","Battleship","Baise-moi","Battleship","0.0","0.0","Coralie Trinh Thi","Peter Berg","Coralie Trinh Thi","Peter Berg","0.0","0.0","Philippe Godeau","Jon Hoeber","Philippe Godeau","Jon Hoeber","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_2580","HM_id_1390","0.0",,"Colombiana","Colossal","Colombiana","Colossal","0.0","0.0","Olivier Megaton","Nacho Vigalondo","Olivier Megaton","Nacho Vigalondo","0.0","0.0","Ariel Zeitoun","Nacho Vigalondo","Ariel Zeitoun","Nacho Vigalondo","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_2617","HM_id_2250","0.2",,"The Tree of Life (film)","The Trials of Cate McCall","The Tree of Life (film)","The Trials of Cate McCall","0.25","0.25","Terrence Malick","Karen Moncrieff","Terrence Malick","Karen Moncrieff","0.0","0.0","Bill Pohlad","Karen Moncrieff","Bill Pohlad","Karen Moncrieff","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_4194","HM_id_4859","0.0",,"Dredd","Dreamgirls","Dredd","Dreamgirls","0.0","0.0","Pete Travis","Bill Condon","Pete Travis","Bill Condon","0.0","0.0","Alex Garland","Tom Eyen","Alex Garland","Tom Eyen","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_836","HM_id_1712","0.26666666666666666",,"Eyes in the Night","Eye in the Sky","Eyes in the Night","Eye in the Sky","0.3333333333333333","0.3333333333333333","Fred Zinnemann","Gavin Hood","Fred Zinnemann","Gavin Hood","0.0","0.0","Jack Chertok","Guy Hibbert","Jack Chertok","Guy Hibbert","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_4163","HM_id_1063","0.9","1","Mary and the Witch's Flower","Mary and the Witch's Flower","Mary and the Witch's Flower","Mary and the Witch's Flower","1.0","1.0","Hiromasa Yonebayashi","Hiromasa Yonebayashi","Hiromasa Yonebayashi","Hiromasa Yonebayashi","1.0","1.0","Yoshiaki Nishimura","Mary Stewart","Yoshiaki Nishimura","Mary Stewart","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_9373","HM_id_2596","0.0",,"Superbad","Submarine","Superbad","Submarine","0.0","0.0","Greg Mottola","Richard Ayoade","Greg Mottola","Richard Ayoade","0.0","0.0","Judd Apatow","Richard Ayoade","Judd Apatow","Richard Ayoade","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_9373","HM_id_2594","0.0",,"Superbad","Sunshine","Superbad","Sunshine","0.0","0.0","Greg Mottola","Danny Boyle","Greg Mottola","Danny Boyle","0.0","0.0","Judd Apatow","Alex Garland","Judd Apatow","Alex Garland","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_9373","HM_id_2593","0.0",,"Superbad","Super","Superbad","Super","0.0","0.0","Greg Mottola","James Gunn","Greg Mottola","James Gunn","0.0","0.0","Judd Apatow","James Gunn","Judd Apatow","James Gunn","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_5296","HM_id_1290","0.0",,"GoldenEye","Gook","GoldenEye","Gook","0.0","0.0","Martin Campbell","Justin Chon","Martin Campbell","Justin Chon","0.0","0.0","Barbara Broccoli","Justin Chon","Barbara Broccoli","Justin Chon","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_467","HM_id_2009","0.0",,"Valimai","Vacation","Valimai","Vacation","0.0","0.0","H. Vinoth","John Francis Daley","H. Vinoth","John Francis Daley","0.0","0.0","Boney Kapoor","Jonathan Goldstein","Boney Kapoor","Jonathan Goldstein","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_5734","HM_id_4487","0.0",,"Rappin'","Rampage","Rappin'","Rampage","0.0","0.0","Joel Silberg","Brad Peyton","Joel Silberg","Brad Peyton","0.0","0.0","Menahem Golan","Ryan Engle","Menahem Golan","Ryan Engle","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_8579","HM_id_2976","0.0",,"Mank","Marvellous","Mank","Marvellous","0.0","0.0","David Fincher","Julian Farino","David Fincher","Julian Farino","0.0","0.0","Ceán Chaffin","Peter Bowker","Ceán Chaffin","Peter Bowker","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_8579","HM_id_2979","0.0",,"Mank","Marley","Mank","Marley","0.0","0.0","David Fincher","Kevin Macdonald","David Fincher","Kevin Macdonald","0.0","0.0","Ceán Chaffin","Bob Marley","Ceán Chaffin","Bob Marley","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_545","HM_id_1646","0.34285714285714286",,"The Man Who Loved Redheads","The Man Who Knew Infinity","The Man Who Loved Redheads","The Man Who Knew Infinity","0.42857142857142855","0.42857142857142855","Harold French","Matt Brown","Harold French","Matt Brown","0.0","0.0","Josef Somlo","Matt Brown","Josef Somlo","Matt Brown","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_5296","HM_id_4327","0.0",,"GoldenEye","Gold","GoldenEye","Gold","0.0","0.0","Martin Campbell","Agustín Díaz Yanes","Martin Campbell","Agustín Díaz Yanes","0.0","0.0","Barbara Broccoli","Arturo Pérez-Reverte","Barbara Broccoli","Arturo Pérez-Reverte","0.0","0.0"
"LinearCombinationMatchingRule","dbpedia_id_9351","HM_id_4603","0.26666666666666666",,"The Conman","The Cove","The Conman","The Cove","0.3333333333333333","0.3333333333333333","Wong Jing","Louie Psihoyos","Wong Jing","Louie Psihoyos","0.0","0.0","Wong Jing","Mark Monroe","Wong Jing","Mark Monroe","0.0","0.0"
